Ref_Date,GEO,NAICS,Vector,Coordinate,Value
1976/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,349438.4
1976/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,347387.9
1976/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,348572.0
1976/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,350861.8
1976/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,351030.8
1976/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,350732.9
1976/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,349722.9
1976/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,350715.0
1976/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,351087.0
1976/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,346272.3
1976/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,352199.9
1976/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,352980.5
1977/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,345270.0
1977/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,352332.8
1977/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,351656.8
1977/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,355467.6
1977/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,354520.1
1977/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,354717.2
1977/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,354610.2
1977/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,355738.2
1977/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,356324.6
1977/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,358059.7
1977/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,359437.5
1977/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,348495.6
1978/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,350906.4
1978/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,358271.3
1978/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,360927.3
1978/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,360734.8
1978/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,364087.3
1978/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,364362.3
1978/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,367391.2
1978/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,367862.7
1978/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,366725.9
1978/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,372120.4
1978/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,371676.3
1978/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,374122.4
1979/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,376833.5
1979/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,373628.8
1979/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,378027.0
1979/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,376122.2
1979/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,378677.1
1979/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,380846.7
1979/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,380329.8
1979/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,383896.0
1979/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,385122.7
1979/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,384802.5
1979/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,384726.6
1979/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,385356.0
1980/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,385943.0
1980/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,384327.4
1980/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,384425.4
1980/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,388402.2
1980/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,385443.0
1980/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,385937.5
1980/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,388952.8
1980/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,387368.6
1980/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,387811.0
1980/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,391625.5
1980/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,393531.8
1980/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,394330.3
1981/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,397216.3
1981/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,398802.2
1981/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,397471.3
1981/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,400024.8
1981/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,398233.7
1981/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,400040.5
1981/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,400418.4
1981/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,398266.5
1981/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,397978.4
1981/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,395119.5
1981/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,397238.5
1981/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,393887.4
1982/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,390374.7
1982/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,390318.6
1982/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,389248.7
1982/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,384092.3
1982/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,382883.5
