Ref_Date,GEO,FORCE,NORTH,Vector,Coordinate,Value
1987/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13376.2
1987/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13406.7
1987/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13441.3
1987/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13466.6
1987/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13486.8
1987/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13523.2
1987/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13524.7
1987/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13543.2
1987/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13568.0
1987/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13617.0
1987/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13632.6
1987/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13680.4
1988/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13708.4
1988/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13711.0
1988/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13730.4
1988/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13732.3
1988/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13747.1
1988/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13742.0
1988/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13781.5
1988/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13797.7
1988/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13816.8
1988/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13842.9
1988/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13872.6
1988/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13884.5
1989/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13971.6
1989/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,13997.7
1989/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14041.5
1989/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14049.7
1989/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14039.6
1989/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14030.7
1989/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14025.9
1989/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14058.8
1989/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14062.1
1989/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14048.5
1989/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14114.9
1989/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14150.0
1990/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14220.5
1990/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14228.5
1990/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14159.9
1990/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14218.1
1990/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14207.1
1990/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14215.2
