industry,link1,link2
"Agriculture, forestry, fishing and hunting",https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=11,
Mining and oil and gas extraction,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=21,
Utilities,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=22,
Construction,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=23,
Manufacturing,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=31-33,
Trade,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=41,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=44-45
Transportation and warehousing,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=48-49,
"Information, culture and recreation",https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=51,
"Finance, insurance, real estate, and leasing",https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=52,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=53
"Professional, scientific and technical services",https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=54,
"Business, building, and other support services",https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=56,
Other services,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=81,
Public administration,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=91,
Educational services,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=61,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=55
Health care and social assistance,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=62,
Accommodation and food services,https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=72,
"Information, culture and recreation",https://www.ic.gc.ca/app/scr/sbms/sbb/cis/definition.html?code=71,
