industry,sector
Agrictulture,Crop Production
Agrictulture,Oilseed and Grain Farming
Agrictulture,Vegetable and Melon Farming
Agrictulture,Fruit and Tree Nut Farming
Agrictulture,"Greenhouse, Nursery and Floriculture Production"
Agrictulture,Other Crop Farming
Agrictulture,Animal Production
"Forestry, fishing, mining, quarrying, oil and gas",Forestry and Logging
"Forestry, fishing, mining, quarrying, oil and gas",Timber Tract Operation
"Forestry, fishing, mining, quarrying, oil and gas",Forest Nurseries and Gathering of Forest Product
"Forestry, fishing, mining, quarrying, oil and gas",Logging
"Forestry, fishing, mining, quarrying, oil and gas","Fishing, Hunting and Trapping"
"Forestry, fishing, mining, quarrying, oil and gas",Fishing
"Forestry, fishing, mining, quarrying, oil and gas",Hunting and Trapping
"Forestry, fishing, mining, quarrying, oil and gas",Support Activities for Agriculture and Forestry
"Forestry, fishing, mining, quarrying, oil and gas",Support Activities for Crop Production
"Forestry, fishing, mining, quarrying, oil and gas",Support Activities for Animal Production
"Forestry, fishing, mining, quarrying, oil and gas",Support Activities for Forestry
"Forestry, fishing, mining, quarrying, oil and gas",Oil and Gas Extraction
"Forestry, fishing, mining, quarrying, oil and gas",Mining (except Oil and Gas)
"Forestry, fishing, mining, quarrying, oil and gas",Coal Mining
"Forestry, fishing, mining, quarrying, oil and gas",Metal Ore Mining
"Forestry, fishing, mining, quarrying, oil and gas",Non-Metallic Mineral Mining and Quarrying
"Forestry, fishing, mining, quarrying, oil and gas",Support Activities for Mining and Oil and Gas Extraction
Utilities,Utilities
Utilities,"Electric Power Generation, Transmission and Distribution"
Utilities,Natural Gas Distribution
Utilities,"Water, Sewage and Other Systems"
Construction,Construction of Buildings
Construction,Residential Building Construction
Construction,Nonresidential Building Construction
Construction,Heavy and Civil Engineering Construction
Construction,Utility System Construction
Construction,Land Subdivision
Construction,"Highway, Street, and Bridge Construction"
Construction,Other Heavy and Civil Engineering Construction
Construction,Specialty Trade Contractors
Construction,"Foundation, Structure and Building Exterior Contractors"
Construction,Building Equipment Contractors
Construction,Building Finishing Contractors
Construction,Other Specialty Contractors
Manufacturing,Manufacturing
Manufacturing,Food Manufacturing
Manufacturing,Animal Food Manufacturing
Manufacturing,Dog and Cat Food Manufacturing
Manufacturing,Other Animal Food Manufacturing
Manufacturing,Grain and Oilseed Milling
Manufacturing,Flour Milling and Malt Manufacturing
Manufacturing,Flour Milling
Manufacturing,Rice Milling and Malt Manufacturing
Manufacturing,Starch and Vegetable Fat and Oil Manufacturing
Manufacturing,Oilseed Processing
Manufacturing,Fat and Oil Refining and Blending
Manufacturing,Breakfast Cereal Manufacturing
Manufacturing,Sugar and Confectionery Product Manufacturing
Manufacturing,Sugar Manufacturing
Manufacturing,Chocolate and Confectionery Manufacturing from Cacao Beans
Manufacturing,Confectionery Manufacturing from Purchased Chocolate
Manufacturing,Non-Chocolate Confectionery Manufacturing
Manufacturing,Fruit and Vegetable Preserving and Specialty Food Manufacturing
Manufacturing,Frozen Food Manufacturing
Manufacturing,"Fruit and Vegetable Canning, Pickling and Drying"
Manufacturing,Dairy Product Manufacturing
Manufacturing,Dairy Product (except Frozen) Manufacturing
Manufacturing,Fluid Milk Manufacturing
Manufacturing,"Butter, Cheese, and Dry and Condensed Dairy Product Manufacturing"
Manufacturing,Ice Cream and Frozen Dessert Manufacturing
Manufacturing,Meat Product Manufacturing
Manufacturing,Animal Slaughtering and Processing
Manufacturing,Animal (except Poultry) Slaughtering
Manufacturing,Rendering and Meat Processing from Carcasses
Manufacturing,Poultry Processing
Manufacturing,Seafood Product Preparation and Packaging
Manufacturing,Seafood Product Preparation and Packaging
Manufacturing,Bakeries and Tortilla Manufacturing
Manufacturing,Bread and Bakery Product Manufacturing
