Ref_Date,GEOGRAPHY,JOBTENURE,INDUSTRY,SEX,Value
2010/01,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,287.3
2010/02,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,287.0
2010/03,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,291.0
2010/04,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,296.2
2010/05,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,320.5
2010/06,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,318.0
2010/07,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,327.9
2010/08,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,331.5
2010/09,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,316.5
2010/10,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,316.6
2010/11,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,302.7
2010/12,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,284.4
2011/01,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,288.1
2011/02,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,286.4
2011/03,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,290.1
2011/04,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,299.3
2011/05,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,318.4
2011/06,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,327.1
2011/07,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,326.4
2011/08,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,332.0
2011/09,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,323.2
2011/10,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,319.6
2011/11,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,294.0
2011/12,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,290.3
2012/01,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,278.1
2012/02,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,274.5
2012/03,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,277.7
2012/04,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,304.4
2012/05,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,323.2
2012/06,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,317.2
2012/07,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,332.3
2012/08,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,330.7
2012/09,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,327.5
2012/10,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,314.8
2012/11,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,296.3
2012/12,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,291.2
2013/01,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,282.3
2013/02,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,285.5
2013/03,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,293.4
2013/04,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,302.3
2013/05,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,322.5
2013/06,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,329.4
2013/07,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,342.9
2013/08,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,343.0
2013/09,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,337.8
2013/10,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,337.0
2013/11,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,306.0
2013/12,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,286.0
2014/01,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,287.1
2014/02,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,289.1
2014/03,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,288.4
2014/04,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,298.9
