Ref_Date,GEO,SEAS,EST,Vector,Coordinate,Value
1981/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,353964.0
1981/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,366040.0
1981/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,371024.0
1981/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,375220.0
1982/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,381476.0
1982/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,384956.0
1982/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,388040.0
1982/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,392356.0
1983/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,401888.0
1983/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,413984.0
1983/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,426852.0
1983/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,434912.0
1984/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,445224.0
1984/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,455912.0
1984/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,461352.0
1984/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,470792.0
1985/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,481068.0
1985/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,490776.0
1985/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,499820.0
1985/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,510824.0
1986/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,514096.0
1986/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,519288.0
1986/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,525172.0
1986/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,529328.0
1987/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,546872.0
1987/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,561792.0
1987/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,576140.0
1987/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,590724.0
1988/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,606608.0
1988/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,616932.0
1988/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,627344.0
1988/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,640140.0
1989/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,651644.0
1989/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,665744.0
1989/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,675044.0
1989/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,676964.0
1990/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,687108.0
1990/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,690836.0
1990/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,693072.0
1990/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,692036.0
1991/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,689492.0
1991/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,696148.0
1991/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,700324.0
1991/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,701564.0
1992/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,705112.0
1992/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,710496.0
1992/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,716732.0
1992/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,720908.0
1993/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,729128.0
1993/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,739668.0
1993/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,744268.0
1993/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,753308.0
1994/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,766924.0
1994/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,777788.0
1994/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,795948.0
1994/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,805676.0
1995/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,818704.0
1995/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,823456.0
1995/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,827748.0
1995/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,834948.0
1996/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,838724.0
1996/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,846468.0
1996/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,859988.0
1996/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,874208.0
1997/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,885828.0
1997/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,893424.0
1997/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,906964.0
1997/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,919288.0
1998/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,929972.0
1998/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,932168.0
1998/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,934900.0
1998/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,949880.0
1999/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,968956.0
1999/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,989172.0
1999/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1014408.0
1999/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1034844.0
2000/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1061500.0
2000/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1091420.0
2000/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1114248.0
2000/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1125496.0
2001/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1140272.0
2001/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1143228.0
2001/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1129176.0
2001/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1126652.0
2002/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1146256.0
2002/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1172900.0
2002/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1190740.0
2002/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1213896.0
2003/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1236748.0
2003/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1226376.0
2003/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1250652.0
2003/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1261540.0
2004/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1285244.0
2004/06,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1317244.0
2004/09,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1341116.0
2004/12,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1356156.0
2005/03,Canada,Seasonally adjusted at annual rates,"Gross domestic income at market prices (x 1,000,000)",v62468841,1.1.1,1369004.0
